Time,Absolute Ia,Absolute Ib,Absolute Ic,Fault
0,0.102041937,0.112175696,0.018625431,No
1.67E-04,0.104190089,0.101525433,0.007390543,No
3.33E-04,0.10586866,0.090409778,0.003880674,No
5.00E-04,0.107063614,0.078878537,0.015130083,No
6.67E-04,0.107764728,0.066984855,0.026299844,No
8.33E-04,0.107966326,0.05478505,0.037333295,No
1.00E-03,0.107667595,0.042338341,0.048175514,No
0.00116662,0.10687194,0.029705847,0.058773641,No
0.00133328,0.10558717,0.01694992,0.069077685,No
0.00149994,0.103825554,0.00413379,0.079041153,No
0.0016666,0.101603061,0.008679432,0.088620983,No
0.00183326,0.098940745,0.021426575,0.097778864,No
0.00199992,0.095860712,0.034047019,0.106479824,No
0.00216658,0.092387356,0.046482023,0.114692822,No
0.00233324,0.088548042,0.058675062,0.122391686,No
0.0024999,0.084371366,0.070572719,0.129554242,No
0.00266656,0.07988666,0.082124963,0.136162102,No
0.00283322,0.075124197,0.09328527,0.142200977,No
0.00299988,0.070114091,0.104011014,0.147660062,No
0.00316654,0.064885475,0.114263542,0.152531087,No
0.0033332,0.059466451,0.12400841,0.156808585,No
0.00349986,0.053883586,0.133215249,0.160489276,No
0.00366652,0.048161324,0.14185749,0.163571104,No
0.00383318,0.042322107,0.149912313,0.16605337,No
0.00399984,0.036386196,0.157360241,0.167936102,No
0.0041665,0.030371711,0.16418463,0.169219524,No
0.00433316,0.024294736,0.170371264,0.169903949,No
0.00449982,0.018169887,0.175908625,0.169990376,No
0.00466648,0.012010018,0.180786625,0.169479057,No
0.00483314,0.005826573,0.184995994,0.168369129,No
0.0049998,0.00037,0.188528851,0.166659966,No
0.00516646,0.006568992,0.191377834,0.164350718,No
0.00533312,0.012760219,0.193536416,0.161441326,No
0.00549978,0.018932341,0.194998592,0.157932326,No
0.00566644,0.025073156,0.195758596,0.153825149,No
0.0058331,0.031168962,0.195811093,0.149122998,No
0.00599976,0.037204221,0.195151284,0.14383103,No
0.00616642,0.04316153,0.193774983,0.137956679,No
0.00633308,0.0490213,0.191678971,0.131510124,No
0.00649974,0.054761805,0.188861355,0.124504916,No
0.0066664,0.060359217,0.185321793,0.116958208,No
0.00683306,0.065787673,0.181062013,0.10889101,No
0.00699972,0.0710195,0.176086202,0.100328475,No
0.00716638,0.076025665,0.170401409,0.091300011,No
0.00733304,0.08077649,0.164018899,0.081839815,No
0.0074997,0.085241415,0.156952784,0.071985871,No
0.00766636,0.089389294,0.149220198,0.061779723,No
0.00783302,0.093189999,0.140843272,0.05126708,No
0.00799968,0.096614167,0.131848231,0.04049699,No
0.00816634,0.099635042,0.122266777,0.029521599,No
0.008333,0.102228083,0.112135269,0.018395504,No
0.00849966,0.104371324,0.10149426,0.007175123,No
0.00866632,0.106046796,0.09038917,0.004082104,No
0.00883298,0.107240498,0.078869604,0.015318226,No
0.00899964,0.107942216,0.066988468,0.026475675,No
0.0091663,0.108146377,0.054801967,0.037498061,No
0.00933296,0.107852131,0.042369094,0.048330583,No
0.00949962,0.107062824,0.029750766,0.058920555,No
0.00966628,0.105786212,0.017009122,0.069218174,No
0.00983294,0.104034461,0.004207158,0.079177015,No
0.0099996,0.101823404,0.008592186,0.08875408,No
0.01016626,0.099173896,0.021325931,0.097911119,No
0.01033292,0.096107796,0.033933718,0.106613137,No
0.01049958,0.092649251,0.046357024,0.114829034,No
0.01066624,0.08882533,0.058539476,0.122532547,No
0.0108329,0.084664345,0.070427932,0.129701465,No
0.01099956,0.080195419,0.081972428,0.136317268,No
0.01116622,0.075448617,0.093126625,0.14236562,No
0.01133288,0.070453778,0.103847973,0.147835523,No
0.01149954,0.065239869,0.114097856,0.152718574,No
0.0116662,0.059834819,0.123841807,0.15700917,No
0.01183286,0.05426494,0.133049622,0.160703808,No
0.01199952,0.048554577,0.14169471,0.163800359,No
0.01216618,0.042725939,0.149754167,0.166297898,No
0.01233284,0.03679923,0.157208562,0.168196365,No
0.0124995,0.030792469,0.164041176,0.169495836,No
0.01266616,0.024721611,0.17023775,0.170196399,No
0.01283282,0.018601261,0.175786644,0.170298889,No
0.01299948,0.012444138,0.180677578,0.169803321,No
0.01316614,0.006261568,0.184900984,0.168708399,No
0.0133328,0.0000641,0.188448757,0.167013153,No
0.01349946,0.00613816,0.191313237,0.164716378,No
0.01366612,0.012334346,0.1934876,0.161817789,No
0.01383278,0.018513342,0.194965661,0.158317834,No
0.01399944,0.024662765,0.19574143,0.154217809,No
0.0141661,0.030768717,0.19580929,0.149520889,No
0.01433276,0.036815498,0.195164338,0.144232228,No
0.01449942,0.042785496,0.193802193,0.138359264,No
0.01466608,0.048658982,0.191719413,0.131912172,No
0.01483274,0.054413978,0.188913971,0.124904588,No
0.0149994,0.060026556,0.185385466,0.117353678,No
0.01516606,0.065470576,0.181135446,0.109280542,No
0.01533272,0.070718139,0.176167935,0.100710437,No
0.01549938,0.075740017,0.170490012,0.091672972,No
0.01566604,0.080506302,0.164112836,0.08220242,No
0.0158327,0.084986143,0.157050401,0.072336949,No
0.01599936,0.089148156,0.149319723,0.062118392,No
0.01616602,0.092962034,0.140942901,0.051592469,No
0.01633268,0.096398152,0.131946117,0.040808469,No
0.01649934,0.099429488,0.122361086,0.02981877,No
0.016666,0.102031462,0.112224296,0.018678224,No
0.01683266,0.104182027,0.101576395,0.007443429,No
0.01699932,0.105863087,0.090462856,0.00382802,No
0.01716598,0.107060552,0.078933515,0.015077901,No
0.01733264,0.107764199,0.067041472,0.026248395,No
0.0174993,0.10796836,0.054843053,0.037282821,No
0.01766596,0.107672207,0.042397443,0.048126265,No
0.01783262,0.106879093,0.029765766,0.058725834,No
0.01799928,0.105596803,0.0170104,0.069031574,No
0.01816594,0.103837587,0.004194486,0.078996897,No
0.0183326,0.10161747,0.0086188,0.088578798,No
0.01849926,0.09895739,0.021366293,0.097738914,No
0.01866592,0.095879406,0.033987347,0.10644225,No
0.01883258,0.092408001,0.046423234,0.11465776,No
0.01899924,0.088570513,0.058617409,0.122359201,No
0.0191659,0.084395513,0.070516475,0.12952444,No
0.01933256,0.079912335,0.082070328,0.136135042,No
0.01949922,0.075151257,0.093232445,0.142176762,No
0.01966588,0.070142426,0.103960209,0.147638723,No
0.01983254,0.064914942,0.114214987,0.152512699,No
0.0199992,0.059496909,0.123962246,0.156793147,No
0.02016586,0.05391489,0.133171558,0.160476804,No
0.02033252,0.048193336,0.141816452,0.163561583,No
0.02049918,0.042354677,0.149874061,0.166046768,No
0.02066584,0.03641922,0.157324866,0.167932376,No
0.0208325,0.030405076,0.16415219,0.169218719,No
0.02099916,0.024328344,0.170341864,0.169906065,No
0.02116582,0.018203672,0.175882384,0.169995368,No
