Time,Absolute Ia,Absolute Ib,Absolute Ic,Fault
0,0.049526647,0.190895572,0.130947441,No
1.67E-04,0.055312969,0.187909052,0.123745985,No
3.33E-04,0.060952321,0.18419902,0.116002247,No
5.00E-04,0.066417582,0.179767668,0.107738912,No
6.67E-04,0.071679942,0.17461966,0.098982826,No
8.33E-04,0.076709315,0.168762967,0.089765221,No
1.00E-03,0.081475563,0.162210658,0.080122575,No
0.00116662,0.08594697,0.154976994,0.070094272,No
0.00133328,0.09009207,0.147080556,0.059723679,No
0.00149994,0.093880735,0.1385452,0.049058195,No
0.0016666,0.097284205,0.12939921,0.038148355,No
0.00183326,0.100275539,0.119675301,0.02704747,No
0.00199992,0.102831043,0.109411389,0.015811102,No
0.00216658,0.104930155,0.098650172,0.004496476,No
0.00233324,0.106555559,0.087438367,0.006838378,No
0.0024999,0.107694209,0.075826682,0.018135255,No
0.00266656,0.108337633,0.063869536,0.029336652,No
0.00283322,0.108481422,0.051624049,0.040386271,No
0.00299988,0.108125791,0.039149754,0.051229764,No
0.00316654,0.107275635,0.026508084,0.061815411,No
0.0033332,0.105939999,0.013761471,0.072094306,No
0.00349986,0.104131967,0.000973,0.082020946,No
0.00366652,0.101869375,0.011795178,0.09155412,No
0.00383318,0.099172696,0.024480389,0.100656271,No
0.00399984,0.09606427,0.037023194,0.109293424,No
0.0041665,0.092569351,0.049365845,0.117436171,No
0.00433316,0.088714629,0.061453354,0.125059053,No
0.00449982,0.084528781,0.073233597,0.132141143,No
0.00466648,0.080041081,0.08465796,0.138665333,No
0.00483314,0.075280786,0.09568166,0.144617826,No
0.0049998,0.070277132,0.106263734,0.149988413,No
0.00516646,0.065058447,0.116367191,0.15476945,No
0.00533312,0.059651528,0.125959024,0.15895547,No
0.00549978,0.054081526,0.135010332,0.162543103,No
0.00566644,0.04837187,0.143495873,0.165530309,No
0.0058331,0.042543713,0.151393756,0.167915836,No
0.00599976,0.036616135,0.158685207,0.169699088,No
0.00616642,0.030606192,0.165354341,0.170879781,No
0.00633308,0.024528963,0.171387494,0.171457484,No
0.00649974,0.018398516,0.176773548,0.171432868,No
0.0066664,0.012226664,0.181502104,0.170804605,No
0.00683306,0.006024187,0.185563713,0.169570908,No
0.00699972,0.000198,0.188950017,0.167730406,No
0.00716638,0.006430582,0.191653326,0.165281773,No
0.00733304,0.012661509,0.193666354,0.162224278,No
0.0074997,0.018879205,0.194982365,0.158558473,No
0.00766636,0.025070468,0.19559525,0.154286295,No
0.00783302,0.031220419,0.195499092,0.149411306,No
0.00799968,0.037312217,0.194688603,0.143939287,No
0.00816634,0.043327175,0.193159461,0.137878746,No
0.008333,0.049244396,0.190908283,0.131241038,No
0.00849966,0.055040762,0.187933177,0.124040969,No
0.00866632,0.060690977,0.184233904,0.116297111,No
0.00883298,0.066167921,0.17981264,0.108032115,No
0.00899964,0.071442507,0.1746739,0.099272959,No
0.0091663,0.076484464,0.168825477,0.090050973,No
0.00933296,0.081263565,0.162280366,0.08040262,No
0.00949962,0.085747831,0.155052751,0.070367351,No
0.00966628,0.089905433,0.147160947,0.05998867,No
0.00983294,0.093706191,0.138628796,0.049314126,No
0.0099996,0.097121157,0.129484505,0.038394362,No
0.01016626,0.100123115,0.119760662,0.027282823,No
0.01033292,0.102688238,0.109495349,0.016035266,No
0.01049958,0.104795955,0.098731317,0.004708997,No
0.01066624,0.106428735,0.08751522,0.006637597,No
0.0108329,0.107573479,0.075897917,0.017946247,No
0.01099956,0.108221583,0.063933939,0.029159268,No
0.01116622,0.108368531,0.05168055,0.04022003,No
0.01133288,0.108014464,0.039197333,0.051074103,No
0.01149954,0.107164308,0.026545856,0.061669581,No
0.0116662,0.105827041,0.013788766,0.071957313,No
0.01183286,0.104015775,0.000989,0.081891745,No
0.01199952,0.101748429,0.011790287,0.091431573,No
0.01216618,0.099045537,0.024487099,0.100539051,No
0.01233284,0.095929623,0.037041493,0.109180234,No
0.0124995,0.092426173,0.049395535,0.11732579,No
0.01266616,0.088562012,0.061494034,0.124950178,No
0.01283282,0.084366046,0.073284701,0.132032439,No
0.01299948,0.079867758,0.084718816,0.138555542,No
0.01316614,0.075096503,0.095751368,0.144505665,No
0.0133328,0.070081629,0.106341302,0.149872601,No
0.01349946,0.064851724,0.116451517,0.154648885,No
0.01366612,0.059433684,0.126048937,0.158829078,No
0.01383278,0.053852852,0.135104567,0.162409753,No
0.01399944,0.048132773,0.143593043,0.165389106,No
0.0141661,0.042294759,0.151492447,0.167765915,No
0.01433276,0.036357988,0.158783957,0.169539645,No
0.01449942,0.030339658,0.16545172,0.170710161,No
0.01466608,0.024254998,0.171482027,0.171277195,No
0.01483274,0.018118119,0.176863775,0.171241447,No
0.0149994,0.011941036,0.181586728,0.170602009,No
0.01516606,0.005734676,0.185641617,0.169357315,No
0.01533272,0.00049,0.189020261,0.167506367,No
0.01549938,0.00672327,0.191715196,0.165048197,No
0.01566604,0.012953523,0.193719372,0.161982209,No
0.0158327,0.019168964,0.195026204,0.158309057,No
0.01599936,0.025356507,0.195629641,0.15403083,No
0.01616602,0.031501364,0.195524022,0.149151176,No
0.01633268,0.037586831,0.194704071,0.143675819,No
0.01649934,0.043594308,0.193165705,0.137613326,No
0.016666,0.049503017,0.190905646,0.130975023,No
0.01683266,0.05528995,0.18792209,0.123775795,No
0.01699932,0.060929962,0.18421495,0.116034158,No
0.01716598,0.066395998,0.179786503,0.10777285,No
0.01733264,0.071659304,0.174641475,0.099018715,No
0.0174993,0.076689698,0.168787688,0.089802898,No
0.01766596,0.081457086,0.162238166,0.080161951,No
0.01783262,0.085929826,0.155007318,0.070135094,No
0.01799928,0.090076327,0.147113547,0.059765756,No
0.01816594,0.093866482,0.138580769,0.04910133,No
0.0183326,0.097271577,0.129437208,0.038192365,No
0.01849926,0.100264676,0.119715557,0.027092107,No
0.01866592,0.102821969,0.109453768,0.015856162,No
0.01883258,0.104922943,0.098694533,0.004541709,No
0.01899924,0.106550306,0.087484501,0.006793112,No
0.0191659,0.107690975,0.075874358,0.018090198,No
0.01933256,0.108336397,0.063918501,0.029292049,No
0.01949922,0.108482227,0.051674094,0.040342383,No
0.01966588,0.108128607,0.039200615,0.051186804,No
0.01983254,0.107280426,0.026559504,0.061773546,No
0.0199992,0.105946727,0.013813194,0.072053753,No
0.02016586,0.104140557,0.001024519,0.081981868,No
0.02033252,0.101879738,0.011743534,0.091516681,No
0.02049918,0.099184766,0.024429161,0.100620627,No
0.02066584,0.096077934,0.036972597,0.109259635,No
0.0208325,0.092584461,0.049316127,0.117404372,No
0.02099916,0.08873111,0.061404742,0.125029385,No
0.02116582,0.084546506,0.073186286,0.13211368,No
0.02133248,0.080059953,0.084612168,0.138640106,No
0.02149914,0.075300716,0.095637582,0.144594967,No
0.0216658,0.070297949,0.106221527,0.149967879,No
0.02183246,0.065080062,0.116326936,0.154751241,No
0.02199912,0.059673801,0.125920892,0.158939675,No
0.02216578,0.054104399,0.134974435,0.162529662,No
0.02233244,0.048395205,0.143462285,0.165519208,No
0.0224991,0.042567477,0.151362538,0.167907134,No
0.02266576,0.036640219,0.158656478,0.169692785,No
0.02283242,0.030630549,0.165328175,0.170875907,No
0.02299908,0.024553519,0.17136389,0.171455994,No
0.02316574,0.018423228,0.176752612,0.171433806,No
0.0233324,0.012251487,0.181483865,0.170807988,No
0.02349906,0.006049064,0.185548127,0.16957666,No
0.02366572,0.000173,0.188937187,0.167738542,No
0.02383238,0.006405696,0.191643283,0.165292352,No
0.02399904,0.012636691,0.193659067,0.162237272,No
0.0241657,0.018854493,0.194977909,0.158573896,No
0.02433236,0.025045928,0.195593655,0.154304147,No
0.02449902,0.031196078,0.195500374,0.149431557,No
0.02466568,0.037288174,0.194692791,0.143961921,No
0.02483234,0.043303519,0.193166584,0.137903765,No
0.024999,0.049221218,0.190918371,0.131268352,No
0.02516566,0.05501809,0.187946111,0.124070451,No
0.02533232,0.060668945,0.184249789,0.116328724,No
0.02549898,0.066146627,0.17983146,0.108065806,No
0.02566564,0.071422063,0.174695611,0.099308588,No
0.0258323,0.07646504,0.168850035,0.09008839,No
0.02599896,0.081245281,0.162307769,0.080441684,No
0.02616562,0.085730761,0.155082896,0.070407912,No
0.02633228,0.089889787,0.147193775,0.060030553,No
0.02649894,0.093692049,0.138664216,0.049357146,No
0.0266656,0.097108588,0.129522324,0.038438275,No
0.02683226,0.100112267,0.119800784,0.027327426,No
0.02699892,0.102679201,0.109537616,0.01608032,No
0.02716558,0.104788758,0.098775506,0.004754326,No
0.02733224,0.106423453,0.087561153,0.006592274,No
0.0274989,0.107570171,0.07594543,0.017901167,No
0.02766556,0.108220302,0.0639828,0.02911463,No
0.02783222,0.108369276,0.051730484,0.040176086,No
0.02799888,0.108017229,0.039248139,0.051031046,No
0.02816554,0.107169054,0.026597306,0.061627626,No
0.0283322,0.105833687,0.013840577,0.071916662,No
