Time,Absolute Ia,Absolute Ib,Absolute Ic,Fault
0,0.008215301,0.19228892,0.164458469,No
1.67E-04,0.014443636,0.194102049,0.161225736,No
3.33E-04,0.020655187,0.195216492,0.157385081,No
5.00E-04,0.026836293,0.195626214,0.152938917,No
6.67E-04,0.032971568,0.195325345,0.147891328,No
8.33E-04,0.039043587,0.194308788,0.142248884,No
1.00E-03,0.045033045,0.192572594,0.136020824,No
0.00116662,0.050918285,0.190113664,0.129219562,No
0.00133328,0.05667552,0.186930463,0.121860854,No
0.00149994,0.062279005,0.183023483,0.113964558,No
0.0016666,0.067700967,0.17839554,0.105554536,No
0.00183326,0.07291197,0.173052117,0.096658945,No
0.00199992,0.077881962,0.167002782,0.087310731,No
0.00216658,0.082579836,0.160260245,0.077546969,No
0.00233324,0.086973667,0.152839899,0.06740839,No
0.0024999,0.091032289,0.144762084,0.056939729,No
0.00266656,0.094725326,0.136051312,0.046189375,No
0.00283322,0.098024488,0.126737341,0.035209004,No
0.00299988,0.100903787,0.116854705,0.024052862,No
0.00316654,0.103339866,0.106442407,0.012777158,No
0.0033332,0.105312973,0.095544279,0.001439494,No
0.00349986,0.106807128,0.084208533,0.009901724,No
0.00366652,0.107810408,0.072486922,0.021188291,No
0.00383318,0.108315177,0.060434669,0.0323628,No
0.00399984,0.10831853,0.048109937,0.043369364,No
0.0041665,0.107821949,0.035573065,0.054154009,No
0.00433316,0.106831342,0.022885857,0.064665496,No
0.00449982,0.105357073,0.010111138,0.074855804,No
0.00466648,0.103413448,0.002688028,0.084680386,No
0.00483314,0.101019606,0.015448522,0.094099186,No
0.0049998,0.098196462,0.028109176,0.103075557,No
0.00516646,0.094967313,0.040610597,0.111576706,No
0.00533312,0.091358274,0.052895535,0.119574554,No
0.00549978,0.08739689,0.06490963,0.127045065,No
0.00566644,0.083111823,0.076601647,0.133968025,No
0.0058331,0.078532763,0.087923869,0.140327469,No
0.00599976,0.073689379,0.098832399,0.146110818,No
0.00616642,0.068610638,0.10928721,0.151308477,No
0.00633308,0.063324668,0.119252339,0.155913636,No
0.00649974,0.057858188,0.12869601,0.159921721,No
0.0066664,0.052235924,0.137590259,0.163329706,No
0.00683306,0.046480671,0.14591077,0.166135907,No
0.00699972,0.04061316,0.153636694,0.168339521,No
0.00716638,0.034651916,0.160750076,0.169940069,No
0.00733304,0.02861353,0.167235598,0.170937255,No
0.0074997,0.022512708,0.173080295,0.17133078,No
0.00766636,0.016363315,0.178273648,0.171121702,No
0.00783302,0.010176941,0.182805464,0.17030856,No
0.00799968,0.003964329,0.186666697,0.168889687,No
0.00816634,0.002263863,0.1898496,0.166864321,No
0.008333,0.008497146,0.192346811,0.164231539,No
0.00849966,0.014724373,0.194151267,0.160990924,No
0.00866632,0.02093333,0.19525671,0.157143578,No
0.00883298,0.0271105,0.195657253,0.152691945,No
0.00899964,0.033240404,0.19534719,0.147640228,No
0.0091663,0.039305948,0.194321588,0.141994938,No
0.00933296,0.045287836,0.192576557,0.135765463,No
0.00949962,0.051164504,0.190109134,0.128964096,No
0.00966628,0.056912355,0.186917931,0.121606648,No
0.00983294,0.062505744,0.183003619,0.113712966,No
0.0099996,0.067917064,0.178369045,0.105306879,No
0.01016626,0.073117077,0.173019767,0.096416496,No
0.01033292,0.078075849,0.166965529,0.087074623,No
0.01049958,0.082762457,0.160219014,0.077318244,No
0.01066624,0.087145194,0.152795836,0.067188047,No
0.0108329,0.091193154,0.144716442,0.05672865,No
0.01099956,0.094876133,0.136005417,0.045988329,No
0.01116622,0.098166034,0.126692563,0.035018563,No
0.01133288,0.101036988,0.116812378,0.023873469,No
0.01149954,0.103465825,0.106403872,0.012609106,No
0.0116662,0.105432831,0.095510781,0.001282896,No
0.01183286,0.10692215,0.084181219,0.010046988,No
0.01199952,0.107921906,0.072466828,0.021322528,No
0.01216618,0.108424559,0.0604227,0.03248648,No
0.01233284,0.108427279,0.048106872,0.043483142,No
0.0124995,0.107931539,0.035579532,0.054258741,No
0.01266616,0.106943294,0.022902435,0.06476216,No
0.01283282,0.10547293,0.010138237,0.074945547,No
0.01299948,0.103534676,0.00265019,0.084764414,No
0.01316614,0.101147622,0.015399807,0.094178803,No
0.0133328,0.098332532,0.028049655,0.103152126,No
0.01349946,0.095112503,0.040540572,0.111651652,No
0.01366612,0.091513447,0.052815508,0.119649194,No
0.01383278,0.087562695,0.064820223,0.127120704,No
0.01399944,0.083288752,0.076503702,0.134046018,No
0.0141661,0.078721106,0.087818362,0.140409127,No
0.01433276,0.073889337,0.098720334,0.146197394,No
0.01449942,0.068822287,0.109169684,0.151401162,No
0.01466608,0.063547902,0.119130626,0.156013578,No
0.01483274,0.058092762,0.128571332,0.160029933,No
0.0149994,0.052481472,0.137463927,0.163447216,No
0.01516606,0.046736646,0.145784289,0.16626361,No
0.01533272,0.040878884,0.153511509,0.168478221,No
0.01549938,0.034926638,0.160627663,0.170090526,No
0.01566604,0.028896322,0.167117506,0.171100065,No
0.0158327,0.022802565,0.17296797,0.171506435,No
0.01599936,0.016659211,0.178168476,0.171310559,No
0.01616602,0.010477658,0.18270874,0.17051068,No
0.01633268,0.004268417,0.186579406,0.169104651,No
0.01649934,0.001957823,0.189772561,0.167091534,No
0.016666,0.008190669,0.19228071,0.164470181,No
0.01683266,0.014419012,0.194096535,0.161239848,No
0.01699932,0.020630622,0.19521369,0.157401577,No
0.01716598,0.026811909,0.195626214,0.152957842,No
0.01733264,0.032947384,0.195328161,0.147912636,No
0.0174993,0.039019704,0.19431445,0.142272532,No
0.01766596,0.045009509,0.192581162,0.136046842,No
0.01783262,0.050895195,0.190125123,0.129247829,No
0.01799928,0.056652967,0.186944708,0.121891275,No
0.01816594,0.062257055,0.183040604,0.113997087,No
0.0183326,0.06767974,0.178415537,0.105589069,No
0.01849926,0.072891638,0.173074856,0.096695334,No
0.01866592,0.07786265,0.167028248,0.087348841,No
0.01883258,0.082561687,0.160288423,0.077586636,No
0.01899924,0.086956754,0.15287073,0.067449428,No
0.0191659,0.091016792,0.144795463,0.056981962,No
0.01933256,0.094711341,0.136087149,0.046232659,No
0.01949922,0.098012082,0.126775459,0.035253119,No
0.01966588,0.100893065,0.116894983,0.024097567,No
0.01983254,0.103330925,0.106484689,0.012822237,No
0.0199992,0.105305865,0.095588386,0.001484723,No
0.02016586,0.106801979,0.084254213,0.00985663,No
0.02033252,0.107807197,0.072534017,0.02114355,No
0.02049918,0.108313941,0.060482964,0.032318611,No
0.02066584,0.108319297,0.048159204,0.043325942,No
0.0208325,0.107824691,0.035623007,0.054111566,No
0.02099916,0.106836043,0.022936262,0.064624242,No
0.02116582,0.105363667,0.010161762,0.074815929,No
0.02133248,0.103421867,0.002637432,0.084642053,No
0.02149914,0.101029746,0.015398218,0.094062522,No
0.0216658,0.098208271,0.028059408,0.103040718,No
0.02183246,0.094980702,0.04056159,0.111543819,No
0.02199912,0.091373116,0.05284749,0.119543716,No
0.02216578,0.087413117,0.06486275,0.12701638,No
0.02233244,0.083129309,0.076556176,0.133941561,No
0.0224991,0.078551389,0.087879956,0.140303254,No
0.02266576,0.073709004,0.098790221,0.146088973,No
0.02283242,0.068631135,0.109246902,0.151289016,No
0.02299908,0.063345969,0.119214051,0.15589653,No
0.02316574,0.057880208,0.128659844,0.159907013,No
0.0233324,0.052258536,0.137556329,0.163317442,No
0.02349906,0.046503793,0.145879164,0.166126043,No
0.02366572,0.040636707,0.153607518,0.16833207,No
0.02383238,0.034675818,0.160723403,0.169935063,No
0.02399904,0.02863769,0.167211518,0.170934662,No
0.0241657,0.022537092,0.173058718,0.171330616,No
0.02433236,0.01638791,0.178254694,0.171123996,No
0.02449902,0.010201696,0.182789192,0.170313299,No
0.02466568,0.003989168,0.186653078,0.168896809,No
0.02483234,0.002238969,0.189838663,0.166873887,No
0.024999,0.008472241,0.192338616,0.164243534,No
0.02516566,0.014699474,0.194145814,0.161005333,No
0.02533232,0.020908497,0.195254028,0.157160386,No
0.02549898,0.0270858,0.195657447,0.152711228,No
0.02566564,0.033215951,0.195350245,0.147661924,No
0.0258323,0.039281748,0.194327429,0.142018974,No
0.02599896,0.045263987,0.192585275,0.135791808,No
0.02616562,0.051141184,0.190120772,0.128992677,No
0.02633228,0.056889564,0.186932385,0.121637411,No
0.02649894,0.062483624,0.183020875,0.113745801,No
0.0266656,0.067895763,0.178389162,0.105341703,No
0.02683226,0.073096663,0.173042715,0.096453168,No
0.02699892,0.078056447,0.166991174,0.087113023,No
0.02716558,0.082744256,0.160247415,0.077358201,No
0.02733224,0.087128259,0.152826905,0.067229398,No
0.0274989,0.09117756,0.144750044,0.056771208,No
0.02766556,0.094862096,0.136041477,0.04603187,No
0.02783222,0.098153621,0.126730904,0.035062898,No
0.02799888,0.101026274,0.11685285,0.023918372,No
0.02816554,0.103456929,0.106446318,0.012654316,No
0.0283322,0.10542582,0.095555037,0.001328189,No
0.02849886,0.106917046,0.084227055,0.010001802,No
0.02866552,0.107918769,0.072514057,0.02127767,No
0.02883218,0.108423457,0.060471118,0.032442193,No
0.02899884,0.108428143,0.048156217,0.043439649,No
0.0291655,0.107934378,0.03562957,0.054216243,No
0.02933216,0.1069481,0.022952929,0.064720877,No
0.02949882,0.105479613,0.010188919,0.074905649,No
0.02966548,0.10354314,0.002599571,0.084726073,No
0.02983214,0.101157829,0.015349505,0.094142206,No
0.0299988,0.098344408,0.027999911,0.103117377,No
0.03016546,0.095125921,0.040491637,0.111618809,No
0.03033212,0.091528311,0.052767545,0.119618416,No
0.03049878,0.087578937,0.064773478,0.127092093,No
0.03066544,0.083306216,0.07645838,0.134019628,No
0.0308321,0.07873971,0.087774597,0.140385002,No
0.03099876,0.073908933,0.098678328,0.146175623,No
0.03116542,0.068842746,0.109129623,0.151381746,No
0.03133208,0.063569151,0.119092546,0.155996516,No
0.03149874,0.058114674,0.128535405,0.160015315,No
0.0316654,0.052503936,0.137430266,0.163434982,No
0.03183206,0.046759583,0.145752922,0.166253775,No
0.03199872,0.04090225,0.153482527,0.1684708,No
0.03216538,0.034950361,0.160601169,0.170085535,No
0.03233204,0.02892033,0.167093501,0.171097457,No
0.0324987,0.022826809,0.172946468,0.171506226,No
0.03266536,0.016683657,0.178149581,0.171312779,No
0.03283202,0.010502244,0.182692453,0.170515269,No
0.03299868,0.004293132,0.186565816,0.169111654,No
0.03316534,0.001933069,0.189761698,0.167100981,No
0.033332,0.008165885,0.192272544,0.164482027,No
0.03349866,0.014394302,0.194091156,0.161254108,No
0.03366532,0.020605978,0.195211098,0.157418296,No
0.03383198,0.026787374,0.195626393,0.15297699,No
0.03399864,0.032923039,0.195331156,0.147934198,No
0.0341653,0.038995638,0.194320306,0.142296448,No
0.03433196,0.044985801,0.192589819,0.136073053,No
0.03449862,0.05087192,0.190136656,0.129276335,No
0.03466528,0.056630272,0.186959133,0.121922009,No
0.03483194,0.062235013,0.183057874,0.114029892,No
0.0349986,0.067658454,0.178435624,0.105623856,No
0.03516526,0.072871231,0.173097849,0.096731983,No
0.03533192,0.077843234,0.167054027,0.087387234,No
0.03549858,0.08254341,0.16031687,0.077626593,No
0.03566524,0.086939782,0.152901843,0.067490771,No
0.0358319,0.091001183,0.144829124,0.057024546,No
0.03599856,0.094697244,0.136123225,0.046276238,No
0.03616522,0.097999647,0.126813889,0.035297509,No
0.03633188,0.100882381,0.116935559,0.024142532,No
0.03649854,0.103322044,0.106527284,0.012867549,No
0.0366652,0.105298884,0.095632777,0.001530148,No
0.03683186,0.106796958,0.08430025,0.009811291,No
0.03699852,0.107804172,0.072581455,0.021098537,No
0.03716518,0.108312912,0.060531568,0.032274216,No
0.03733184,0.108320251,0.048208751,0.043282334,No
0.0374985,0.107827626,0.035673287,0.054068971,No
0.03766516,0.106840916,0.022987012,0.064582855,No
0.03783182,0.105370447,0.010212722,0.074775971,No
0.03799848,0.103430517,0.002586509,0.084603675,No
0.03816514,0.101040185,0.015347578,0.094025902,No
0.0383318,0.098220386,0.02800929,0.103005916,No
0.03849846,0.094994389,0.040512264,0.111510985,No
0.03866512,0.091388293,0.052799184,0.119512968,No
0.03883178,0.08742962,0.06481567,0.12698774,No
0.03899844,0.083147056,0.076510482,0.133915141,No
0.0391651,0.078570269,0.087835863,0.140279144,No
0.03933176,0.073728912,0.09874782,0.146067172,No
0.03949842,0.068651959,0.109206393,0.151269555,No
0.03966508,0.063367583,0.119175568,0.155879512,No
0.03983174,0.057902478,0.128623471,0.159892425,No
0.0399984,0.052281391,0.137522161,0.163305238,No
0.04016506,0.046527121,0.14584735,0.166116282,No
0.04033172,0.040660433,0.153578073,0.168324739,No
0.04049838,0.034699917,0.160696432,0.169930145,No
0.04066504,0.028662121,0.16718705,0.170932144,No
0.0408317,0.022561768,0.173036873,0.171330527,No
0.04099836,0.016412772,0.178235456,0.171126306,No
0.04116502,0.010226694,0.182772607,0.170317993,No
0.04133168,0.004014266,0.186639205,0.168903947,No
0.04149834,0.00221384,0.189827561,0.166883454,No
0.041665,0.008447072,0.192330241,0.16425553,No
0.04183166,0.014674388,0.19414027,0.161019757,No
0.04199832,0.020883523,0.195251301,0.157177255,No
0.04216498,0.027060976,0.195657492,0.15273048,No
0.04233164,0.033191357,0.195353121,0.147683576,No
0.0424983,0.039257444,0.194333211,0.142043009,No
0.04266496,0.045240067,0.192593902,0.135818154,No
0.04283162,0.051117718,0.190132245,0.129021287,No
0.04299828,0.056866683,0.186946765,0.12166822,No
0.04316494,0.062461413,0.183038175,0.113778703,No
0.0433316,0.06787432,0.178409338,0.105376564,No
0.04349826,0.073076144,0.173065707,0.096489869,No
0.04366492,0.078036979,0.167017013,0.08715146,No
0.04383158,0.082725912,0.160275936,0.077398211,No
0.04399824,0.087111205,0.152858049,0.067270748,No
0.0441649,0.091161959,0.14478375,0.056813788,No
0.04433156,0.094848,0.136077613,0.046075445,No
0.04449822,0.098141149,0.126769364,0.035107251,No
0.04466488,0.101015538,0.116893485,0.023963289,No
