Time,Absolute Ia,Absolute Ib,Absolute Ic,Fault
0,0.014056515,0.193897143,0.160844699,No
1.67E-04,0.020230893,0.195188925,0.157184184,No
3.33E-04,0.026372036,0.195777237,0.152924702,No
5.00E-04,0.032465648,0.195656806,0.148069948,No
6.67E-04,0.038495637,0.194823057,0.142625764,No
8.33E-04,0.044443961,0.193271801,0.136600092,No
1.00E-03,0.050290417,0.191000044,0.130003989,No
0.00116662,0.05601275,0.188006297,0.122851968,No
0.00133328,0.061586324,0.184290558,0.115162157,No
0.00149994,0.066984542,0.179855019,0.106956661,No
0.0016666,0.072179303,0.174704507,0.098261841,No
0.00183326,0.077141039,0.168846801,0.089108422,No
0.00199992,0.081839859,0.162294507,0.07953199,No
0.00216658,0.086244702,0.155062035,0.069571383,No
0.00233324,0.090324476,0.147167757,0.059269387,No
0.0024999,0.094049178,0.138635054,0.04867287,No
0.00266656,0.097390272,0.129491761,0.037831724,No
0.00283322,0.100320973,0.119770356,0.026798744,No
0.00299988,0.102817409,0.10950838,0.015629251,No
0.00316654,0.10485895,0.098748103,0.004380044,No
0.0033332,0.106428333,0.087535962,0.006891021,No
0.00349986,0.107512347,0.075922363,0.018125964,No
0.00366652,0.108102262,0.063961461,0.029267462,No
0.00383318,0.108193651,0.051710248,0.040259317,No
0.00399984,0.107786551,0.039228108,0.051047154,No
0.0041665,0.106885679,0.026576361,0.06157919,No
0.00433316,0.105499983,0.013817539,0.071806423,No
0.00449982,0.103642464,0.001014557,0.081683211,No
0.00466648,0.101330735,0.011769471,0.091168106,No
0.00483314,0.09858539,0.024472494,0.100223377,No
0.0049998,0.095428973,0.037034389,0.108814947,No
0.00516646,0.091886811,0.0493971,0.116913326,No
0.00533312,0.087985821,0.06150528,0.124492936,No
0.00549978,0.083754912,0.073306456,0.131532699,No
0.00566644,0.079223618,0.084751651,0.138015509,No
0.0058331,0.074421585,0.095795646,0.143927634,No
0.00599976,0.069378361,0.106397063,0.149258822,No
0.00616642,0.064122789,0.11651849,0.154001638,No
0.00633308,0.058682103,0.126126662,0.158150792,No
0.00649974,0.053081959,0.13519229,0.161703065,No
0.0066664,0.047346231,0.143689871,0.164656848,No
0.00683306,0.041496545,0.151597366,0.167011172,No
0.00699972,0.035552412,0.158896014,0.168765917,No
0.00716638,0.029531254,0.165569827,0.169921264,No
0.00733304,0.023448525,0.17160514,0.170477182,No
0.0074997,0.017318333,0.176990777,0.17043443,No
0.00766636,0.011152909,0.181716934,0.169792742,No
0.00783302,0.004963167,0.185774177,0.168550506,No
0.00799968,0.001240549,0.189154536,0.166706622,No
0.00816634,0.007447991,0.19185029,0.164259747,No
0.008333,0.013648232,0.193854854,0.161209941,No
0.00849966,0.019829689,0.195161983,0.157557711,No
0.00866632,0.025979506,0.195765421,0.153304651,No
0.00883298,0.032083321,0.195659727,0.148454428,No
0.00899964,0.03812477,0.194840074,0.143012837,No
0.0091663,0.044085659,0.193302155,0.13698788,No
0.00933296,0.049945604,0.191042796,0.130390614,No
0.00949962,0.055682063,0.188060343,0.123235695,No
0.00966628,0.06127033,0.184354812,0.115541332,No
0.00983294,0.06668362,0.179928228,0.107329674,No
0.0099996,0.071893565,0.174785331,0.09862721,No
0.01016626,0.076870337,0.168933824,0.089464732,No
0.01033292,0.081583947,0.162386313,0.079878092,No
0.01049958,0.086002983,0.155156925,0.069906168,No
0.01066624,0.090096124,0.147263959,0.059591908,No
0.0108329,0.093833186,0.138730824,0.048982326,No
0.01099956,0.097185336,0.129585281,0.038127616,No
0.01116622,0.100125738,0.119859859,0.027080754,No
0.01133288,0.102630362,0.109592229,0.015897226,No
0.01149954,0.104678437,0.098824829,0.004634138,No
0.0116662,0.106252678,0.087604165,0.006650451,No
0.01183286,0.107339829,0.075980835,0.017898422,No
0.01199952,0.10793107,0.06400913,0.029052146,No
0.01216618,0.108021878,0.051746193,0.040055223,No
0.01233284,0.107612394,0.039251588,0.050853245,No
0.0124995,0.106707305,0.026586812,0.061394148,No
0.01266616,0.105315588,0.013814591,0.071628749,No
0.01283282,0.103450425,0.000998084,0.08151143,No
0.01299948,0.101129472,0.011799404,0.091000505,No
0.01316614,0.09837348,0.024515547,0.100058198,No
0.0133328,0.095205322,0.037090071,0.108650535,No
0.01349946,0.091650546,0.049464669,0.116747998,No
0.01366612,0.087736294,0.061583765,0.124325089,No
0.01383278,0.083491758,0.073394775,0.131360874,No
0.01399944,0.078946717,0.084848627,0.137838274,No
0.0141661,0.074130997,0.095899902,0.143743649,No
0.01433276,0.069074377,0.106507152,0.14906691,No
0.01449942,0.063805871,0.116632894,0.153800726,No
