Time,Absolute Ia,Absolute Ib,Absolute Ic,Fault
0,0.067237899,0.110116109,0.150782883,No
1.67E-04,0.061902292,0.12006627,0.155305728,No
3.33E-04,0.056391802,0.129491568,0.159233704,No
5.00E-04,0.050731618,0.138364002,0.162564263,No
6.67E-04,0.04494502,0.146659434,0.165296421,No
8.33E-04,0.039053015,0.154356748,0.167429581,No
1.00E-03,0.033074547,0.161438182,0.16896376,No
0.00116662,0.027026534,0.167888656,0.169899359,No
0.00133328,0.020923849,0.173695192,0.170236453,No
0.00149994,0.014780451,0.178847477,0.169976294,No
0.0016666,0.008607923,0.183335692,0.169117943,No
0.00183326,0.002416858,0.187151074,0.167659909,No
0.00199992,0.003782246,0.190285921,0.165601403,No
0.00216658,0.009979117,0.192733303,0.162941739,No
0.00233324,0.01616287,0.194486484,0.159680635,No
0.0024999,0.022321524,0.19553943,0.155819252,No
0.00266656,0.028441804,0.195886701,0.151360214,No
0.00283322,0.034508806,0.195522934,0.146307692,No
0.00299988,0.04050567,0.194443509,0.140668213,No
0.00316654,0.046413589,0.192644835,0.134450972,No
0.0033332,0.052211661,0.190124348,0.127668068,No
0.00349986,0.057876777,0.186880827,0.12033505,No
0.00366652,0.063383795,0.182915092,0.112471417,No
0.00383318,0.068705678,0.178230226,0.104100674,No
0.00399984,0.073813602,0.172831908,0.095250539,No
0.0041665,0.078677922,0.166729644,0.085953452,No
0.00433316,0.083268195,0.159936294,0.07624606,No
0.00449982,0.087553017,0.152467459,0.066168651,No
0.00466648,0.091501668,0.144343317,0.055765517,No
0.00483314,0.095084228,0.135588437,0.045084484,No
0.0049998,0.098272733,0.126232371,0.034176715,No
0.00516646,0.101041503,0.116309471,0.023096016,No
0.00533312,0.103367448,0.105858743,0.011898207,No
0.00549978,0.105231009,0.094923854,0.000640552,No
0.00566644,0.10661637,0.083552845,0.01061891,No
0.0058331,0.10751161,0.071797438,0.021822099,No
0.00599976,0.10790927,0.059712823,0.032911792,No
0.00616642,0.107806526,0.047357112,0.043832254,No
0.00633308,0.107204959,0.034790717,0.054529648,No
0.00649974,0.106110685,0.022075573,0.064952835,No
0.0066664,0.104534254,0.009274659,0.075053811,No
0.00683306,0.102490194,0.003548853,0.084788211,No
0.00699972,0.09999755,0.016331693,0.094115771,No
0.00716638,0.097078018,0.029012082,0.103000142,No
0.00733304,0.093755178,0.041530527,0.111408703,No
0.0074997,0.090055361,0.053829461,0.11931333,No
0.00766636,0.086006232,0.065854192,0.126689807,No
0.00783302,0.081637517,0.077553071,0.133518726,No
0.00799968,0.076979265,0.088878073,0.139784157,No
0.00816634,0.072061278,0.099784978,0.145473495,No
0.008333,0.066913389,0.110233612,0.150577858,No
0.00849966,0.061564345,0.120187737,0.155090809,No
0.00866632,0.056041125,0.129615307,0.159007907,No
0.00883298,0.050369177,0.138488308,0.162326857,No
0.00899964,0.044571925,0.146782503,0.165046692,No
0.0091663,0.038670536,0.154476881,0.167167008,No
0.00933296,0.032684054,0.161553592,0.168688014,No
0.00949962,0.026629468,0.167997673,0.169610262,No
0.00966628,0.020521818,0.173796296,0.16993399,No
0.00983294,0.014375066,0.178939164,0.169660598,No
0.0099996,0.008200904,0.183416843,0.16878961,No
0.01016626,0.002010067,0.187220693,0.167319849,No
0.01033292,0.004186891,0.19034338,0.165250942,No
0.01049958,0.010379669,0.1927782,0.162582412,No
0.01066624,0.016557468,0.194518715,0.159314215,No
0.0108329,0.022708463,0.195559055,0.155447573,No
0.01099956,0.028819518,0.195893988,0.150985181,No
0.01116622,0.034875877,0.195518434,0.145931244,No
0.01133288,0.04086091,0.194427848,0.140292212,No
0.01149954,0.04675607,0.192618847,0.134077266,No
0.0116662,0.052540593,0.190089002,0.127298489,No
0.01183286,0.058191627,0.186837301,0.119971342,No
0.01199952,0.063684173,0.182864621,0.112115212,No
0.01216618,0.068991385,0.178174168,0.103753582,No
0.01233284,0.074084759,0.172771633,0.09491393,No
0.0124995,0.078934878,0.166666657,0.085628547,No
0.01266616,0.083511367,0.159872145,0.075933903,No
0.01283282,0.087783277,0.152403787,0.065870099,No
0.01299948,0.091720141,0.144281894,0.05548121,No
0.01316614,0.095292166,0.135530934,0.044814937,No
0.0133328,0.098471656,0.126180515,0.033922181,No
0.01349946,0.101233028,0.116264902,0.022856446,No
0.01366612,0.103553288,0.105822936,0.011673452,No
0.01383278,0.105412953,0.094898142,0.000430207,No
0.01399944,0.106796257,0.083538443,0.010815479,No
0.0141661,0.107691333,0.071795382,0.022005783,No
0.01433276,0.108090758,0.059723891,0.033083785,No
0.01449942,0.107991733,0.04738193,0.043993831,No
0.01466608,0.107395835,0.034829687,0.05468234,No
0.01483274,0.106309071,0.022128938,0.065098308,No
0.0149994,0.104741901,0.009342407,0.075193889,No
0.01516606,0.102708757,0.003466898,0.084924728,No
0.01533272,0.100228518,0.016235966,0.094250649,No
0.01549938,0.097322688,0.02890325,0.103135333,No
0.01566604,0.094014525,0.041409437,0.111546107,No
0.0158327,0.090330087,0.053697161,0.119454734,No
0.01599936,0.086296789,0.06571202,0.12683697,No
0.01616602,0.081944086,0.077402487,0.133673325,No
0.01633268,0.077301763,0.088720642,0.139947742,No
0.01649934,0.072399452,0.099622339,0.145647526,No
0.016666,0.067266747,0.110067524,0.150763542,No
0.01683266,0.061932188,0.120020017,0.155289322,No
0.01699932,0.056422561,0.129447788,0.159220219,No
0.01716598,0.050763115,0.138322875,0.162553817,No
0.01733264,0.044977155,0.146621019,0.16528897,No
0.0174993,0.039085712,0.154321179,0.167425066,No
0.01766596,0.033107698,0.161405519,0.168962225,No
0.01783262,0.027060011,0.167858973,0.169900805,No
0.01799928,0.020957554,0.173668519,0.170240805,No
0.01816594,0.01481433,0.178823873,0.169983551,No
0.0183326,0.008641887,0.183315337,0.16912809,No
0.01849926,0.002450806,0.187133968,0.167672902,No
0.01866592,0.003748411,0.190272063,0.165617243,No
0.01883258,0.009945431,0.192722753,0.16296041,No
0.01899924,0.016129417,0.194479317,0.159702122,No
0.0191659,0.022288365,0.195535675,0.155843526,No
0.01933256,0.028409064,0.195886344,0.151387215,No
0.01949922,0.034476548,0.195526004,0.146337405,No
0.01966588,0.040474031,0.194450051,0.140700519,No
0.01983254,0.046382677,0.192654848,0.134485796,No
0.0199992,0.052181613,0.190137759,0.127705291,No
0.02016586,0.057847794,0.18689771,0.12037459,No
0.02033252,0.063355975,0.182935432,0.11251317,No
0.02049918,0.068679072,0.178253993,0.104144469,No
0.02066584,0.07378839,0.172859058,0.095296241,No
0.0208325,0.078654267,0.166760102,0.086000912,No
0.02099916,0.083246209,0.159969971,0.076295078,No
0.02116582,0.087532811,0.152504236,0.066218995,No
0.02133248,0.091483422,0.144383133,0.055816934,No
0.02149914,0.09506809,0.135631129,0.045136724,No
0.0216658,0.098258793,0.126277775,0.03422958,No
0.02183246,0.101029888,0.116357468,0.023149222,No
0.02199912,0.103358269,0.105909102,0.01195144,No
0.02216578,0.105224282,0.094976366,0.000693621,No
0.02233244,0.106612168,0.083607264,0.010566229,No
0.0224991,0.107510001,0.071853526,0.021770116,No
0.02266576,0.107910208,0.059770297,0.032860752,No
0.02283242,0.107809991,0.047415741,0.043782357,No
0.02299908,0.107211001,0.034850195,0.054481175,No
0.02316574,0.106119245,0.022135608,0.064906009,No
0.0233324,0.104545236,0.009334957,0.075008869,No
0.02349906,0.102503561,0.003488503,0.08474531,No
0.02366572,0.100013204,0.016271597,0.094075128,No
0.02383238,0.097095825,0.028952565,0.102961853,No
0.02399904,0.093775019,0.041471846,0.11137291,No
0.0241657,0.09007708,0.053771846,0.119280137,No
0.02433236,0.086029693,0.065797903,0.126659334,No
0.02449902,0.081662558,0.077498369,0.133491024,No
0.02466568,0.077005796,0.088825174,0.139759302,No
0.02483234,0.07208918,0.09973406,0.14545159,No
0.024999,0.066942476,0.110184804,0.150558874,No
0.02516566,0.061594486,0.120141268,0.155074775,No
0.02533232,0.056072224,0.129571304,0.158994854,No
0.02549898,0.050401032,0.138446912,0.162316769,No
0.02566564,0.044604424,0.146743834,0.165039584,No
0.0258323,0.038703561,0.154441044,0.167162865,No
0.02599896,0.032717492,0.161520705,0.168686837,No
0.02616562,0.026663264,0.167967826,0.16961202,No
0.02633228,0.020555837,0.173769489,0.169938684,No
0.02649894,0.014409224,0.17891553,0.169668227,No
0.0266656,0.008235166,0.183396369,0.168800131,No
0.02683226,0.002044369,0.187203452,0.16733326,No
0.02699892,0.004152655,0.190329388,0.165267184,No
0.02716558,0.010345619,0.192767546,0.162601501,No
0.02733224,0.01652368,0.194511414,0.15933609,No
